"date","district","group","n"
2022-04-14,"浦东新区","isolation",1015
2022-04-14,"黄浦区","isolation",258
2022-04-14,"徐汇区","isolation",126
2022-04-14,"长宁区","isolation",135
2022-04-14,"静安区","isolation",61
2022-04-14,"普陀区","isolation",27
2022-04-14,"虹口区","isolation",134
2022-04-14,"杨浦区","isolation",46
2022-04-14,"闵行区","isolation",259
2022-04-14,"宝山区","isolation",29
2022-04-14,"嘉定区","isolation",98
2022-04-14,"金山区","isolation",21
2022-04-14,"松江区","isolation",174
2022-04-14,"青浦区","isolation",122
2022-04-14,"奉贤区","isolation",17
2022-04-14,"崇明区","isolation",25
2022-04-14,"浦东新区","screen",159
2022-04-14,"黄浦区","screen",6
2022-04-14,"徐汇区","screen",46
2022-04-14,"长宁区","screen",13
2022-04-14,"静安区","screen",9
2022-04-14,"普陀区","screen",18
2022-04-14,"虹口区","screen",40
2022-04-14,"杨浦区","screen",1
2022-04-14,"闵行区","screen",14
2022-04-14,"宝山区","screen",19
2022-04-14,"嘉定区","screen",4
2022-04-14,"金山区","screen",2
2022-04-14,"松江区","screen",4
2022-04-14,"青浦区","screen",6
2022-04-14,"奉贤区","screen",2
2022-04-14,"崇明区","screen",3
2022-04-14,"浦东新区","asym",78
2022-04-14,"黄浦区","asym",4
2022-04-14,"徐汇区","asym",121
2022-04-14,"杨浦区","asym",1
2022-04-14,"闵行区","asym",1
2022-04-14,"宝山区","asym",2
2022-04-14,"嘉定区","asym",98
2022-04-14,"奉贤区","asym",1
2022-04-14,"崇明区","asym",1
